Barcode,Nudge ID,Category,Nudge food ID,Source food ID,Brand name,Product Name,Energy,Fat,Saturated fat,Carbohydrate,Sugar,Protein,Salt,Ingredients,May contain
5.91E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,103194,5596484,Wiejskie Ziemniaczki,Wiejskie Ziemniaczki Potato Crisps With Butter And Salt Flavour 130g,2341,38,18,48,1.1,5.5,2,"Potatoes, Palm Oil*, Butter and Salt Flavour (Salt, Flavour Enhancers: Monosodium Glutamate, Disodium Guanylate; Milk Whey Powder, Sugar, Flavouring, Skim Milk Powder, Butter Fat Powder, Cream Powder from Milk, Colour: Carotenes), Salt, *Certified sustainable Palm Oil",H0010
5.91E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,103196,5596485,Wiejskie Ziemniaczki,Wiejskie Ziemniaczki Potato Crisps With Paprika Flavour 130g,2306,37,17,48,1.5,5.5,2.1,"Potatoes, Palm Oil*, Paprika Flavour (Salt, Paprika Powder, Sugar, Flavourings - including Smoke Flavouring, Onion Powder, Flavour Enhancers: Monosodium Glutamate, Disodium Guanylate, Disodium Inosinate; Yeast Extract Powder, Colour: Paprika Extract; Tomato Powder, Spices & Herbs), Salt, *Certified sustainable Palm Oil",H0000
7.62E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,103679,5708937,Ritz,Ritz Crisp & Thin Sea Salt & Vinegar Sharing Crisps 100g,1852,16,1.7,66,5.7,5.2,1.82,"Potato Flour 56 % (contains Sulphites), Cornstarch, Sunflower Oil, Wheat Flour, Sea Salt and Vinegar Seasoning [Sugar, Acidity Regulators (Sodium Diacetate, Citric Acid), Flavouring, Sea Salt, Salt, Vinegar Powder], Sugar, Oat Fibre, Rapeseed Oil, Raising Agents (Monocalcium Phosphate, Sodium Hydrogen Carbonate), Emulsifier (Soya Lecithin)","H0001,H0011,H0014"
7.62E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,103680,5708934,Ritz,Ritz Crisp & Thin Cream Cheese & Onion Sharing Crisps 100g,1870,16,1.8,67,5.3,5.3,1.58,"Potato Flour 56 % (contains Sulphites), Cornstarch, Sunflower Oil, Cream Cheese and Onion Seasoning [Salt, Onion Powder, Natural Flavouring, Cream Cheese Powder, Cheese Powder, Acidity Regulators (Citric Acid, Sodium Citrate), Sugar], Wheat Flour, Sugar, Oat Fibre, Rapeseed Oil, Raising Agents (Monocalcium Phosphate, Sodium Hydrogen Carbonate), Emulsifier (Soya Lecithin)","H0001,H0010,H0011,H0014"
8.71E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,104750,5866352,Amaizin,Amaizin Organic Natural Corn Chips 75g,2009,21.5,2.2,62.8,1.5,6.7,0.8,"Corn Flour* (77%), Sunflower Oil*, Sea Salt (0,8%), *Organic farming",H0000
8.71E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,104751,5866350,Amaizin,Amaizin Organic Chilli Corn Chips 75g,2009,21.5,2.2,62.8,1.5,6.7,1.3,"Corn Flour* (74%), Sunflower Oil*, Chilimix*(4%) (Salt, Sweet Pepper*, Garlic*, Onion*, Sugar*, Coriander*, Chilli*, Fenugreek*, Lovage*), *Organic farming",H0000
5.05E+12,"A0001,B0000,C0035,D0000,E0005,F0000",crisps,57266,3951997,Asda,Asda Hand Cooked Cheddar & Red Onion Flavour Crisps 150g,2116,29,3.7,54,3.4,6.3,1.1,"Potatoes, Sunflower Oil (28%), Cheddar & Red Onion Flavour [Lactose (from Milk), Salt, Yeast Extract, Cheese Powder (from Milk), Sugar, Flavourings (contains Milk), Onion Powder, Red Onion Powder, Buttermilk Powder]",H0010
5.05E+12,"A0001,B0000,C0035,D0000,E0005,F0000",crisps,57267,3984499,Asda,Asda Hand Cooked Sea Salt & Cider Vinegar Flavour Crisps 150g,2023,24,2.5,57,2.2,6.9,1.8,"Potatoes, Sunflower Oil, Sea Salt & Cider Vinegar Flavour [Maltodextrin, Sea Salt, Sugar, Flavourings, Fortified Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Yeast Extract]",H0000
5.05E+12,"A0001,B0000,C0035,D0000,E0005,F0000",crisps,57268,3951999,Asda,Asda Hand Cooked Sea Salt & Black Pepper Crisps 150g,2114,29,3.5,55,0.8,5.5,1.3,"Potatoes, Sunflower Oil, Sea Salt & Black Pepper Flavour [Potato Starch, Maltodextrin, Sea Salt, Cracked Black Pepper, Ground Black Pepper, Sugar, Flavouring, Yeast Extract, Citric Acid]",H0000
5.05E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,57688,3581099,The Tasty Snack Co.,The Tasty Snack Co. Salted Tortillas 340g,2083,24.6,2.3,60.8,1.2,5.8,1.2,"Maize, Sunflower Oil, Salt",H0000
