Category,Product Name,Energy,Fat,Saturated fat,Carbohydrate,Sugar,Protein,Salt
crisps,Wiejskie Ziemniaczki Potato Crisps With Butter And Salt Flavour 130g,2341,38,18,48,1.1,5.5,2
crisps,Wiejskie Ziemniaczki Potato Crisps With Paprika Flavour 130g,2306,37,17,48,1.5,5.5,2.1
crisps,Ritz Crisp & Thin Sea Salt & Vinegar Sharing Crisps 100g,1852,16,1.7,66,5.7,5.2,1.82
crisps,Ritz Crisp & Thin Cream Cheese & Onion Sharing Crisps 100g,1870,16,1.8,67,5.3,5.3,1.58
crisps,Amaizin Organic Natural Corn Chips 75g,2009,21.5,2.2,62.8,1.5,6.7,0.8
crisps,Amaizin Organic Chilli Corn Chips 75g,2009,21.5,2.2,62.8,1.5,6.7,1.3
crisps,Asda Hand Cooked Cheddar & Red Onion Flavour Crisps 150g,2116,29,3.7,54,3.4,6.3,1.1
crisps,Asda Hand Cooked Sea Salt & Cider Vinegar Flavour Crisps 150g,2023,24,2.5,57,2.2,6.9,1.8
crisps,Asda Hand Cooked Sea Salt & Black Pepper Crisps 150g,2114,29,3.5,55,0.8,5.5,1.3
crisps,The Tasty Snack Co. Salted Tortillas 340g,2083,24.6,2.3,60.8,1.2,5.8,1.2
crisps,The Tasty Snack Co. Ready Salted Potato Chipsticks 210g,2257,33.1,2.9,52.3,0.4,6.5,1.05
crisps,The Tasty Snack Co. Ready Salted Hoops Potato Snacks 225g,2152,26.4,2.5,64.9,0.6,3.3,1.85
crisps,Pringles Texas Bbq Sauce 190g,2119,31,3.2,52,4.5,4.1,1.6
crisps,Pringles Original 190g,2161,33,3.4,51,1.4,3.8,1.4
crisps,Pringles Salt & Vinegar 190g,2121,31,3.2,53,3.8,4,2.3
crisps,Asda Chosen By You Cheese & Chilli Flavours Party Snacks 100g,1999,21.4,2.1,65,2.4,4.6,1.9
crisps,Tyrrells Three Bird Roast 40g,2070,26,3.03,55.57,1.1,7.6,1.2
crisps,Tyrrells Lightly Sea Salted 5 X 25g,2089,24.4,2.5,49,2,5.9,0.5
crisps,The Food Doctor Hot Wasabi Popped Crisp Thins 23g,1733,12.5,1.2,44.2,3.4,26.7,2.89
crisps,The Food Doctor Mild Korma Popped Crisp Thins 23g,1741,13.5,1.9,41.8,6,27,2.65
crisps,Natures Store Free From Lightly Salted Corn Chips 150g,1979,20,2,64.4,1.5,6.6,0.9
crisps,Rw Garcia Veggie Mix Organic Tortilla Chips 150g,2102,21,3,66,2.5,8.1,0.5
crisps,Rw Garcia Blue Corn Organic Tortilla Chips 150g,2014,18.2,2.5,66.9,0.9,9.2,0.5
crisps,Corkers Simply Sea Salt Hand Cooked Crisps 20g,1999,26,3,49,0.6,6.2,1
crisps,Corkers Sea Salt & Cider Vinegar Hand Cooked Crisps 20g,2286,29,3.3,59,1.7,7.3,1.8
crisps,Corkers Cheddar Cheese & Chive Hand Cooked Crisps 20g,2303,29,3.8,58,3.7,8.2,1.3
