Product Name,Product Description,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Kellogg's Rice Krispies Breakfast Cereal 1kg,Toasted Rice Cereal Fortified with Vitamins and Minerals.,cereal,389,0.4,86,7.9,1
"Sainsbury's Berry Hooplas, Summer Edition 375g","Coated cereal extrudate with natural strawberry and raspberry flavourings, fortified with vitamins and iron",cereal,395,0.9,85,23.4,0.41
"Sainsbury's  Peach Melba Granola, Summer Edition 500g",A blend of honey toasted wholegrain oats with a peach flavour and freeze-dried raspberries,cereal,437,2.4,64.2,14.9,0.03
Kellogg's Special K Original Breakfast Cereal 750g,"Crunchy Rice, Wholewheat and Barley Flakes Fortified with Vitamins and Minerals.",cereal,392,0.3,84,15,1
Kellogg's Crunchy Nut Breakfast Cereal 1kg,"Toasted Flakes of Corn with Sugar, Peanuts and Honey, Fortified with Vitamins and Minerals.",cereal,398,0.7,82,35,0.75
Sainsbury's Multigrain Hoops Cereal 375g,"Sugar coated wheat, oat, barley, maize and rice hoops, fortified with vitamins and iron.",cereal,382,0.2,74.9,15.6,0.42
Kellogg's Frosties Breakfast Cereal 500g,Sugar Frosted Flakes of Corn.,cereal,375,0.1,87,37,0.83
Nestle Shredded Wheat Bitesize Cereal 720g,100% Whole Grain Wheat Cereal Biscuits,cereal,367,0.5,68.7,0.7,0.05
Kellogg's Rice Krispies Breakfast Cereal 700g,Toasted Rice Cereal,cereal,387,0.4,86,7.9,1
Kellogg's Crunchy Nut Breakfast Cereal 720g,"Golden Flakes of Corn with Sugar, Peanuts and Honey.",cereal,398,0.7,82,35,0.75
Kellogg's Special K Red Berries Breakfast Cereal 500g,"Crunchy Rice, Wholewheat And Barley Flakes With Freeze Dried Red Fruits, Fortified With Vitamins and Minerals.",cereal,376,0.3,79,17,0.95
Shredded Wheat Cereal Biscuits x30,100% Whole Grain Wheat Cereal Biscuits,cereal,360,0.5,66.7,0.7,0.05
Kellogg's Crunchy Nut Breakfast Cereal 375g,"Golden Flakes of Corn with Sugar, Peanuts and Honey.",cereal,398,0.7,82,35,0.75
Weetabix Weetos Chocolatey Cereal 500g,Chocolate Flavour Crunchy Wheat Hoops Fortified with Vitamins & Iron.,cereal,386,0.7,75,19,0.2
Kellogg's Rice Krispies Breakfast Cereal 375g,Toasted Rice Cereal.,cereal,387,0.4,86,7.9,1
Kellogg's Rice Krispies Multigrain Shapes Breakfast Cereal 350g,"Toffee Flavour Rice, Wholegrain Oat & Maize Cereal Shapes.",cereal,382,0.6,78,15,0.18
Sainsbury's Balance Cereal 500g,Toasted rice and wheat cereal flakes fortified with vitamins and iron,cereal,375,0.3,83.1,12.3,0.54
Nestle Curiously Cinnamon Cereal 375g,Fortified Toasted Squares of Whole Wheat and Rice with Sugar and Cinnamon,cereal,422,1.1,74.1,25,0.88
Kellogg's Wheats Blueberry Breakfast Cereal 500g,Shredded Wholewheat with a Blueberry Flavoured Filling.,cereal,374,0.3,78,15,0.04
Kellogg's Cereal Variety Pack x8 185g,"Rice Krispies - Toasted rice cereal
Frosties - Sugar Coated Flakes of Corn
Corn Flakes - Toasted flakes of golden corn
Coco Pops - Chocolate Flavour Toasted Rice
Rice Krispies Multi-Grain Shapes - Sweetened Rice, Wholegrain Oat & Maize Cereal Shapes",cereal,1626,0.2,87,10,1.13
Weetabix Oatibix Flakes Golden Oat Flakes Cereal 550g,Wholegrain oat and oat bran flakes fortified with vitamins and iron.,cereal,405,1.4,67,14,0.28
Weetabix Oatibix Cereal x24,Wholegrain oat cereal and added vitamins. 24 Biscuits.,cereal,390,1.3,63,4.8,0.23
Kellogg's Coco Pops?Breakfast Cereal 720g,Chocolate Flavour Toasted Rice.,cereal,382,0.9,84,17,0.65
Nestle Honey Cheerios Cereal 515g,Fortified Mixed Whole Grain Sweetened Cerealo Os with Honey,cereal,380,0.8,73.4,22.3,0.67
Kellogg's Crunchy Nut Honey & Nut Clusters Breakfast Cereal 450g,"Crunchy Multi-Grain Cereal, Peanut & Honey Clusters with Milk Chocolate Curls.",cereal,460,5,67,31,0.83
Kellogg's Krave Milk Chocolate Cereal 410g,"Wheat, Oat, and Rice Pillow containing a Milk Chocolate Flavoured Filling.",cereal,441,4,70,28,0.95
Kellogg's Wheats Apricot Breakfast Cereal 500g,Shredded Wholewheat with an Apricot Flavoured Filling.,cereal,372,0.3,77,12,0.04
Kellogg?s Frosted Wheats Cereal 500g,Shredded Wholewheat with Sugar Topping.,cereal,364,0.6,72,17,0.03
Kellogg?s Raisin Wheats Cereal 450g,No Added Sugar Shredded Wholewheat with a Raisin Centre.,cereal,328,0.2,71,13,0.01
Kellogg's Special K Red Berries Breakfast Cereal 330g,"Crunchy Rice, Wholewheat and Barley Flakes with Freeze Dried Red Fruits.",cereal,376,0.3,79,17,0.95
Nestle Nesquik Chocolate Cereal 375g,Chocolate Flavoured Fortified Wheat and Maize Cereal,cereal,380,0.6,75.2,22.4,0.22
Sainsbury's Choco Hazelnut Squares Cereal 375g,"Crispy cereal pillows with a chocolate flavoured and hazelnut filling, fortified with vitamins & iron",cereal,425,2.2,65,19.4,0.41
Sainsbury's Puffed Wheat Cereal 160g,Unsweetened puffed wheat cereal,cereal,376,0.6,69.6,0.6,0.01
Sainsbury's Choco Hoops Cereal 375g,"Wheat and rice hoops, fortified with vitamins and iron, coated with chocolate flavoured syrup",cereal,377,1.3,73.2,19.7,0.15
Kellogg's Coco Pops Cereal 375g,Chocolate Flavour Toasted Rice.,cereal,382,0.9,84,17,0.65
Nestle Shredded Wheat Honey Nut Cereal 500g,Bitesize Wholegrain Wheat Cereal Biscuits with a Topping of Honey & Chopped Nuts,cereal,387,1.2,67.8,15.1,0.04
Sainsbury's Frosted Flakes Cereal 500g,"Crunchy sweetened Cornflakes, fortified with vitamins and iron",cereal,396,0.6,90.1,26.9,0.7
Kellogg's Krave Chocolate Hazelnut Cereal 410g,"Wheat, Oat, and Rice Pillow containing a Chocolate and Hazelnut Flavoured Filling.",cereal,450,4,68,29,1.1
Kellogg's Special K Peach & Apricot Cereal 360g,"Crunchy Rice, Wholewheat and Barley Flakes with Freeze Dried Peach and Apricot.",cereal,373,0.3,79,19,0.95
Sainsbury's Honey Hoops Cereal 375g,"Multigrain hoops coated with a honey and sugar syrup, fortified with vitamins and iron.",cereal,378,0.4,76,18.4,0.43
Kellogg's Special K Original Breakfast Cereal 375g,"Crunchy Rice, Wholewheat and Barley Flakes Fortified with Vitamins and Minerals.",cereal,392,0.3,84,15,1
Kellogg's Coco Pops Rocks Breakfast Cereal 350g,Crispy Cocoa Maize Cereal with Multi-Grain Cereal Pillows (40%) Lined with Chocolate Flavour Filling.,cereal,407,2.7,75,25,0.73
Kellogg's Frosties Breakfast Cereal 1kg,Sugar Frosted Flakes of Corn.,cereal,375,0.1,87,37,0.83
Cookie Crisp Chocolatey Chip Cookie Cereal 500g,Fortified Crispy Wheat and Maize Cereal with Chocolate Flavour Chips,cereal,393,0.9,77,22,0.66
"Sainsbury's Mini Cinnamon Buns Cereal, Limited Edition 375g",Coated whole grain wheat and oat extrudate with cinnamon fortified with vitamins and iron,cereal,380,0.5,77.7,21.1,0.63
Nestle Cheerios Honey Cereal 375g,Fortified Mixed Whole Grain Sweetened Cereal Os with Honey,cereal,380,0.8,73.4,22.3,0.67
Kellogg's Special K Oats & Honey Cereal 420g,"Crunchy Honey, Rice, Wholewheat and Barley Flakes with Oats & Brown Rice.",cereal,381,0.5,77,18,0.63
Kellogg's Coco Pops Breakfast Cereal 1kg,"Chocolate Flavour Toasted Rice, Fortified with Vitamins and Minerals.",cereal,386,0.9,84,17,0.65
Kellogg's Plain Wheats Cereal 500g,No Added Sugar Shredded Wholewheat.,cereal,397,0.4,78,0.9,0
Kellogg's Special K Milk Chocolate Cereal 360g,"Crunchy Rice, Wholewheat and Barley Flakes with Milk Chocolate Curls.",cereal,396,2.5,77,22,0.85
Weetabix Melts Milk Chocolate Cereal 360g,Wholegrain Wheat Cereal with Milk Chocolate Flavoured Filling Fortified with Vitamins & Iron.,cereal,424,3,59,18,0.2
Kellogg?s Choco Wheats Cereal 480g,Shredded Wholewheat with a Chocolate Filling.,cereal,392,4.5,65,19,0.05
Lucky Charms Cup Frosted Toasted Oat Cereal with Marshmallows 48g,Frosted Toasted Oat Cereal with Marshmallows,cereal,388,0,75.5,38.7,1.6
"Sainsbury's Under the Sea Cereal Strawberry Flavour Stars & Fish, Summer Edition 375g","Coated cereal extrudates with natural strawberry flavouring, fortified with vitamins and iron",cereal,391,0.7,79.3,21.6,0.27
BEAR Alphabites Cocoa Cereal 350g,"Delicious breakfast cereal with wheat, corn, oats and cocoa",cereal,387,0.8,78,12,0.13
Nat Bears Chocolate Cereal 6x32g,Whole Oat Cereals Ready-to-Eat with Chocolate,cereal,433,2.7,68.5,16.6,0.03
BEAR Alphabites Multigrain Cereal 350g,"Delicious breakfast cereal with wheat, corn, oats and cocoa",cereal,375,0.5,74,12,0.04
Kellogg's Krave Cookies & Cream Cereal 410g,"Chocolate Flavour Mixed Cereal Pillows Containing a Cream Flavoured Filling, Fortified with Vitamins.",cereal,420,3.4,70,26,1
Nat Bears Honey Cereal 6x32g,Whole Oat Cereals Ready-To-Eat with Honey,cereal,436,1.4,70.1,14.7,0.03
Kellogg's Crunchy Nut Not So Nutty! Granola 600g,Crunchy Oat Clusters.,cereal,481,11,60,19,0.85
Kellogg's Corn Flakes Breakfast Cereal 1kg,Toasted Flakes of Golden Corn.,cereal,378,0.2,84,8,1.13
Nat Bears Honey Cereal 6x32g,Whole Oat Cereals Ready-To-Eat with Honey,cereal,436,1.4,70.1,14.7,0.03
Kellogg's Special K Cereal 30g,"Crunchy rice, wholewheat and barley flakes.",cereal,375,0.3,79,15,1
Shreddies The Original 460g,Whole Wheat Fortified Malted Cereal,cereal,364,0.3,70.1,12.5,0.72
Shreddies The Original 910g,Whole Wheat Fortified Malted Cereal,cereal,364,0.3,70.1,12.5,0.72
Cheerios Multigrain 700g,Fortified Mixed Whole Grain Sweetened Cereal Os,cereal,384,0.9,71,17.6,0.83
Sainsbury's Rice Pops 375g,Puffed rice fortified with vitamins & iron,cereal,386,0.3,85.5,7,0.53
Sainsbury's Choco Rice Pops 375g,Puffed rice fortified with vitamins and iron with a milk chocolate flavour coating,cereal,395,1.5,85,28,0.66
Cheerios Multigrain 390g,Fortified Mixed Whole Grain Sweetened Cereal Os,cereal,384,0.9,71,17.6,0.83
Kellogg's Rice Krispies Squares Marshmallow Snack Bars 4x28g,Crispy grains of toasted rice cereal covered in chewy melted marshmallow.,cereal,424,7,76,32,0.75
Kellogg's Rice Krispies Squares Delightfully Chocolatey Snack Bars 4x36g,Crispy grains of toasted rice cereal and milk chocolate chunks with a chocolate flavour coating.,cereal,432,10,74,35,0.63
Shreddies The Frosted One 560g,Sugar Frosted Fortified Whole Wheat Malted Cereal,cereal,370,0.3,74.7,22.4,0.64
Shreddies The Coco One 560g,Cocoa Flavoured Fortified Whole Wheat Malted Cereal,cereal,369,0.8,72.3,22.2,0.61
Gofree Gluten Free Corn Flakes 500g,Gluten-Free Flakes of Toasted Corn Fortified with Vitamins and Iron,cereal,385,0.3,85.1,8.3,0.96
Shredded Wheat Red Berries & Vanilla Flavour 450g,"Bitesize Wholegrain Wheat Cereal Biscuits with Strawberry, Raspberry, Cranberry & Vanilla Flavour Filling",cereal,350,0.3,72.4,16.2,0.07
Kelloggs Crunchy Nut Bites Honey & Nut Flavour 375g,"Mixed Cereal Pillows Containing a Hazelnut and Honey Flavoured Filling, Fortified with Vitamins.",cereal,447,3.7,71,27,0.66
Shredded Wheat Bitesize 370g,100% Whole Grain Wheat Cereal Biscuits,cereal,367,0.5,68.7,0.7,0.05
Shreddies The Simple One 460g,Whole Wheat Cereal,cereal,365,0.3,68.9,4.2,0.29
Curiously Cinnamon Churros 360g,Fortified Toasted of Whole Wheat and Rice with Sugar and Cinnamon,cereal,395,0.7,75.8,24.8,1
Kellogg's Krave Milk Chocolate 850g,"Wheat, Oat, and Rice Pillow Containing a Milk Chocolate Flavoured Filling",cereal,441,4,70,28,0.95
Kellogg's Krave Chocolate Hazelnut 850g,"Wheat, Oat, and Rice Pillow Containing a Chocolate and Hazelnut Flavoured Filling.",cereal,450,4,68,29,1.13
Sainsbury's Deliciously Free From Choco Rice Pops 300g,Puffed rice coated in cocoa and fortified with vitamins and iron,cereal,385,0.7,86.1,22.6,0.28
Kellogg?s Rice Krispies Multigrain Shapes Kids Blueberry & Apple 350g,"Apple (7.5%), Beetroot (2.5%) and Blueberry(2%) Flavoured Multigrain Cereal Contains Naturally Occurring Sugars.",cereal,364,0.6,68,7.4,0.15
Kellogg?s Rice Krispies Multigrain Shapes Kids Strawberry & Apple 350g,"Apple (7%), Carrot (2%) and Strawberry (2%), Flavoured Multigrain Cereal Contains Naturally Occurring Sugars.",cereal,363,0.6,68,7.8,0.15
Nesquik Chocolate & Banana Flavoured Pillows 350g,"Fortified Wheat, Corn and Rice Chocolate Flavoured Pillow Shaped Cereal with Banana Flavour Filling.",cereal,430,1.5,68.9,22.4,0.21
Honey Monster Wheat Puffs 520g,"Puffed wheat sweetened with sugar and honey, fortified with vitamins and iron.",cereal,357,0.3,74,22,0.01
Kellogg's Crunchy Nut 35g,"Golden Flakes of Corn with Sugar, Peanuts and Honey.",cereal,398,0.7,82,35,0.75
Kellogg's Corn Flakes Breakfast Cereal 500g,Toasted Flakes of Golden Corn Fortified with Vitamins and Iron.,cereal,378,0.2,84,8,1.1
Weetabix Cereal x24,Whole Wheat Cereal with Added Vitamins & Iron. 24 Biscuits,cereal,362,0.6,69,4.2,0.28
Weetabix Cereal x48,Whole Wheat Cereal with Added Vitamins & Iron. 48 Biscuits,cereal,362,0.6,69,4.2,0.28
Kellogg's Fruit 'n Fibre Original Breakfast Cereal 700g,"Wholewheat Flakes with Raisins, Coconut, Banana, Apple And Hazelnuts.",cereal,380,3.5,69,24,1
