Product Name,Product Description,Category,Energy,Saturates,Carbohydrate,Sugars,Salt
Kellogg's Rice Krispies Breakfast Cereal 1kg,Toasted Rice Cereal Fortified with Vitamins and Minerals.,cereal,389,0.4,86,7.9,1.0
"Sainsbury's Berry Hooplas, Summer Edition 375g","Coated cereal extrudate with natural strawberry and raspberry flavourings, fortified with vitamins and iron",cereal,395,0.9,85.0,23.4,0.41
"Sainsbury's  Peach Melba Granola, Summer Edition 500g",A blend of honey toasted wholegrain oats with a peach flavour and freeze-dried raspberries,cereal,437,2.4,64.2,14.9,0.03
Kellogg's Special K Original Breakfast Cereal 750g,"Crunchy Rice, Wholewheat and Barley Flakes Fortified with Vitamins and Minerals.",cereal,392,0.3,84,15,1.0
Kellogg's Crunchy Nut Breakfast Cereal 1kg,"Toasted Flakes of Corn with Sugar, Peanuts and Honey, Fortified with Vitamins and Minerals.",cereal,398,0.7,82,35,0.75
Sainsbury's Multigrain Hoops Cereal 375g,"Sugar coated wheat, oat, barley, maize and rice hoops, fortified with vitamins and iron.",cereal,382,0.2,74.9,15.6,0.42
Kellogg's Frosties Breakfast Cereal 500g,Sugar Frosted Flakes of Corn.,cereal,375,0.1,87,37,0.83
Nestle Shredded Wheat Bitesize Cereal 720g,100% Whole Grain Wheat Cereal Biscuits,cereal,367,0.5,68.7,0.7,0.05
Kellogg's Rice Krispies Breakfast Cereal 700g,Toasted Rice Cereal,cereal,387,0.4,86,7.9,1
Kellogg's Crunchy Nut Breakfast Cereal 720g,"Golden Flakes of Corn with Sugar, Peanuts and Honey.",cereal,398,0.7,82,35,0.75
Kellogg's Special K Red Berries Breakfast Cereal 500g,"Crunchy Rice, Wholewheat And Barley Flakes With Freeze Dried Red Fruits, Fortified With Vitamins and Minerals.",cereal,376,0.3,79,17,0.95
Shredded Wheat Cereal Biscuits x30,100% Whole Grain Wheat Cereal Biscuits,cereal,360,0.5,66.7,0.7,0.05
Kellogg's Crunchy Nut Breakfast Cereal 375g,"Golden Flakes of Corn with Sugar, Peanuts and Honey.",cereal,398,0.7,82,35,0.75
Weetabix Weetos Chocolatey Cereal 500g,Chocolate Flavour Crunchy Wheat Hoops Fortified with Vitamins & Iron.,cereal,386,0.7,75,19,0.20
Kellogg's Rice Krispies Breakfast Cereal 375g,Toasted Rice Cereal.,cereal,387,0.4,86,7.9,1
Kellogg's Rice Krispies Multigrain Shapes Breakfast Cereal 350g,"Toffee Flavour Rice, Wholegrain Oat & Maize Cereal Shapes.",cereal,382,0.6,78,15,0.18
Sainsbury's Balance Cereal 500g,Toasted rice and wheat cereal flakes fortified with vitamins and iron,cereal,375,0.3,83.1,12.3,0.54
Nestle Curiously Cinnamon Cereal 375g,Fortified Toasted Squares of Whole Wheat and Rice with Sugar and Cinnamon,cereal,422,1.1,74.1,25.0,0.88
Kellogg's Wheats Blueberry Breakfast Cereal 500g,Shredded Wholewheat with a Blueberry Flavoured Filling.,cereal,374,0.3,78,15,0.04
