Product Name,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Pringles Original Sharing Crisps 200g,crisps,534,2.8,56,1.2,1.1
Pringles Sour Cream & Onion Sharing Crisps 200g,crisps,525,2.8,56,2.5,1.3
Pringles Salt & Vinegar Sharing Crisps 200g,crisps,514,2.7,56,2.3,1.9
Walkers Ready Salted Multipack Crisps 6x25g,crisps,521,2.5,53,0.4,1.4
Walkers Cheese & Onion Multipack Crisps 6x25g,crisps,514,2.4,54,2.6,1.2
Pom-Bear Original Multipack Crisps 6x13g,crisps,503,2.8,63,2.1,1.4
Walkers Classic Variety Multipack Crisps 12x25g,crisps,514,2.4,54,2.6,1.2
Kettle Chips Lightly Salted Sharing Crisps 150g,crisps,2139,3.5,51.5,0.5,0.9
Sainsbury's Ready Salted Crisps 6x25g,crisps,517,2.9,55.5,0.5,1.31
"Sainsbury's Gourmet Sea Salt Crisps, Taste the Difference 150g",crisps,505,2.8,57.1,0.5,0.94
Doritos Cool Original Sharing Tortilla Chips Crisps 180g,crisps,498,3.5,58.1,2.7,1.48
Sensations Thai Sweet Chilli Sharing Crisps 150g,crisps,474,2.2,60,3.7,1.4
Walkers Prawn Cocktail Multipack Crisps 6x25g,crisps,513,2.4,55,1.9,1.2
Hula Hoops Original Potato Ring Crisps 6x24g,crisps,499,2.2,65,0.5,1.4
Walkers Salt & Vinegar Multipack Crisps 6x25g,crisps,514,2.4,54,0.4,1.6
"Sainsbury's Sea Salt & Cider Vinegar Crisps, Taste the Difference 150g",crisps,514,3,53.8,1.1,1.53
"Sainsbury's Cheddar & Spring Onion Crisps, Taste the Difference 150g",crisps,514,3.7,49.5,1.5,1.32
Walkers Salt & Shake Multipack Crisps 6x24g,crisps,533,2.6,52.2,0.4,0
Hula Hoops BBQ Beef Potato Ring Crisps 6x24g,crisps,498,2.3,64,1,2.2
Walkers Classic Variety Multipack Crisps 22x25g,crisps,514,2.4,54,2.6,1.2
Kettle Chips Sea Salt & Balsamic Vinegar of Modena Sharing Crisps 150g,crisps,2142,2.4,56.8,1.3,1.6
McCoy's Flame Grilled Steak Variety Pack Crisps 6x25g,crisps,524,2.5,53,2.3,1.5
Sainsbury's Cheese & Onion Crisps 6x25g,crisps,508,2.7,55.9,0.6,1.25
Hula Hoops Variety Crisps 12x24g,crisps,498,2.3,64,1,2.2
McCoy's Classic Variety Pack Crisps 6x25g,crisps,529,2.5,54,1.9,2.1
Walkers Classic Variety Multipack Crisps 6x25g,crisps,514,2.4,54,2.6,1.2
Walkers Ready Salted Crisps 12x25g,crisps,521,2.5,53,0.4,1.3
Doritos Chilli Heatwave Sharing Tortilla Chips Crisps 180g,crisps,497,3,59.3,6.1,1.35
Walkers Smoky Bacon Multipack Crisps 6x25g,crisps,514,2.4,55,4.5,1.2
Kettle Chips Sea Salt & Crushed Black Peppercorns Sharing Crisps 150g,crisps,2111,2.6,57.4,0.5,1.3
Walkers Roast Chicken Multipack Crisps 6x25g,crisps,513,2.4,54,1.4,1.2
Kettle Chips Lightly Salted Multipack Crisps 5x30g,crisps,2139,3.5,51.5,0.5,0.9
Popchips Barbeque Multipack Crisps 5pk,crisps,420,1.4,62,8.7,2.1
McCoy's Salt & Vinegar Variety Pack Crisps 6x25g,crisps,529,2.5,54,1.9,2.1
Sainsbury's Classic Variety Assorted Crisps 22x25g,crisps,532,3.3,50.8,2.9,1.18
Pringles Texas BBQ Sauce Flavour Sharing Crisps 200g,crisps,520,2.7,57,4.5,1.2
Walkers Less Salt Lightly Salted Multipack Crisps 6x25g,crisps,522,2.5,53,0.4,0.67
Kettle Chips Sweet Chilli & Sour Cream Sharing Crisps 150g,crisps,2106,3.5,52.9,4.3,1.1
Kettle Chips Mature Cheddar & Red Onion Sharing Crisps 150g,crisps,2142,3.3,52,1.3,1.2
Walkers Marmite Multipack Crisps 6x25g,crisps,511,2.4,53,1.3,1.4
Jacob's Crinklys Cheese & Onion Crisps 6x25g,crisps,488,6.5,63.2,7.3,1.7
Tyrrells Lightly Sea Salted Sharing Crisps 150g,crisps,2048,3,51.8,0.6,0.8
Walkers Sensations Thai Sweet Chilli Multipack Crisps 5x25g,crisps,494,2.3,59,4,1.43
Sainsbury's Assorted Crisps 6x25g,crisps,517,2.9,55.5,0.5,1.31
Sainsbury's Salt & Vinegar Crisps 6x25g,crisps,511,3.6,54.9,0.6,1.68
Jacob's Twiglets Crisps 6x24g,crisps,421,1.9,57,0.5,1.1
Popchips Barbeque Sharing Crisps 85g,crisps,420,1.4,62,8.7,2.1
Sainsbury's Ready Salted Crisps 12x25g,crisps,517,2.9,55.5,0.5,1.31
Walkers Meaty Variety Multipack Crisps 22x25g,crisps,514,2.4,55,4.5,1.2
Sensations Roast Chicken & Thyme Sharing Crisps 150g,crisps,501,2.4,57.1,2.6,1.43
Walkers Less Salt Mild Cheese & Onion Multipack Crisps 6x25g,crisps,515,2.4,54,2.6,0.62
Popchips Sea Salt & Vinegar Sharing Crisps 85g,crisps,408,1.7,67,2.6,2.2
Hula Hoops Original Crisps 12x24g,crisps,499,2.2,65,0.5,1.4
Doritos Tangy Cheese Sharing Tortilla Chips Crisps 180g,crisps,501,3.4,57.5,2.7,1.19
Jacob's Twiglets Crisps 150g,crisps,421,1.9,57,0.5,1.1
Sainsbury's Classic Variety Assorted Crisps 12x25g,crisps,532,3.3,50.8,2.9,1.18
Popchips Sour Cream & Onion Multipack Crisps 5pk,crisps,413,1.6,61,4.5,1.9
